SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
452091,Agricultural Equipment Operators,-0.1%,764,$16 per hour,"$36,200 per year",These occupations usually require a high school diploma.
452011,Agricultural Inspectors,0.0%,97,$21 per hour,"$46,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
194012,Agricultural Technicians,-0.1%,51,$20 per hour,"$43,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
452099,"Agricultural Workers, All Other",-2.7%,66,$15 per hour,"$36,400 per year",None
452021,Animal Breeders,0.0%,21,$20 per hour,"$43,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
392021,Animal Caretakers,-3.3%,613,$16 per hour,"$35,300 per year",Some of these occupations may require a high school diploma or GED certificate.
191011,Animal Scientists,-0.3%,7,$29 per hour,"$62,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
392011,Animal Trainers,-3.9%,21,$17 per hour,"$45,400 per year",These occupations usually require a high school diploma.
131021,"Buyers and Purchasing Agents, Farm Products",0.6%,"1,815",$36 per hour,"$79,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
475041,Continuous Mining Machine Operators,-1.4%,3,$23 per hour,"$47,300 per year",Some of these occupations may require a high school diploma or GED certificate.
475011,"Derrick Operators, Oil and Gas",N/A,N/A,$23 per hour,"$50,300 per year",Some of these occupations may require a high school diploma or GED certificate.
173025,Environmental Engineering Technologists and Technicians,0.2%,40,$37 per hour,"$78,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
172081,Environmental Engineers,0.9%,163,$52 per hour,"$110,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194042,"Environmental Science and Protection Technicians, Including Health",1.3%,190,$26 per hour,"$64,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
475099,"Extraction Workers, All Other",-1.8%,37,$35 per hour,"$71,300 per year",None
454021,Fallers,-2.0%,46,$35 per hour,"$71,800 per year",Some of these occupations may require a high school diploma or GED certificate.
131074,Farm Labor Contractors,-0.1%,19,$23 per hour,"$50,300 per year",These occupations usually require a high school diploma.
119013,"Farmers, Ranchers, and Other Agricultural Managers",0.0%,358,$41 per hour,"$91,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0%,"9,935",$15 per hour,"$33,400 per year",Some of these occupations may require a high school diploma or GED certificate.
452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0%,876,$16 per hour,"$37,700 per year",Some of these occupations may require a high school diploma or GED certificate.
451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0%,757,$27 per hour,"$58,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
